,Timestamp,Kategori Anda,Kategori Umur Anda,CaRek Pilihan,Alasan Memilih CaRek,Harapan Anda
357,9/2/2019 15:39:52,Umum,> 40 th,Deddy Kurniadi (FTI-TF),Kapabilitas ybs utk memajukan riset dan industri RI,
358,9/2/2019 15:47:03,Umum,25 - 40 th,Acep Purqon (FMIPA-FI),Muda dan berenergi,Indonesia jaya berawal dari kemajuan lembaga pendidikan dan risetnya
367,9/2/2019 16:05:07,Alumni,> 40 th,Deddy Kurniadi (FTI-TF),Keberhasilan dan prestasi,
368,9/2/2019 16:05:37,Mahasiswa,< 25 th,Megawati Santoso (FMIPA-KI),Akhlak dan budi pekerti,Semoga kuliah di itb diberi kemudahan
369,9/2/2019 16:07:54,Alumni,< 25 th,Acep Purqon (FMIPA-FI),Muda dan berenergi,
371,9/2/2019 16:12:50,Umum,25 - 40 th,Bambang Riyanto T (STEI),Kapabilitas ybs utk memajukan riset dan industri RI,
375,9/2/2019 16:19:04,Mahasiswa,> 40 th,Bambang Riyanto T (STEI),Kapabilitas ybs utk memajukan riset dan industri RI,"ITB menjadi PT kelas dunia, menghasilkan peneliti kaliber Nobel"
378,9/2/2019 16:39:05,Alumni,> 40 th,Deddy Kurniadi (FTI-TF),Kapabilitas ybs utk memajukan riset dan industri RI,Rektor ITB yang dinamis dan ikut perkembangan zaman. Bisa masuk dalam the big 50 universitas terkemuka di dunia 
382,9/2/2019 16:45:18,Alumni,> 40 th,Deddy Kurniadi (FTI-TF),Karakter kepemimpinan dan leadership,Diharapkan rektor baru dapat memasukkan ITB dalam 100 PT terbaik di dunia.
387,9/2/2019 17:00:03,Alumni,> 40 th,Acep Purqon (FMIPA-FI),Muda dan berenergi,
389,9/2/2019 17:01:51,Mahasiswa,> 40 th,Bambang Riyanto T (STEI),Tipe yg futuristik dan outside-the-box yg bisa menangkap peluang masa depan,Mampu meningkatkan rangking ITB di dunia
390,9/2/2019 17:03:00,Alumni,> 40 th,Bambang Riyanto T (STEI),Kapabilitas ybs utk memajukan riset dan industri RI,
394,9/2/2019 17:07:37,Mahasiswa,< 25 th,Megawati Santoso (FMIPA-KI),Sesuai dengan kriteria kekinian (Rektor 4.0),Semoga amanah
395,9/2/2019 17:08:31,Mahasiswa,< 25 th,Acep Purqon (FMIPA-FI),Akhlak dan budi pekerti,Bersinergi dengan kemajuan zaman
396,9/2/2019 17:09:32,Pegawai / Tendik,> 40 th,Megawati Santoso (FMIPA-KI),Kecerdasan dan keberanian utk kemajuan ITB,
402,9/2/2019 17:14:58,Dosen,> 40 th,Satria Bijaksana (FTTM),Kecerdasan dan keberanian utk kemajuan ITB,Rektor barua gar  dapat meningkatkan kesejahteraan dosen nya
404,9/2/2019 17:18:18,Mahasiswa,25 - 40 th,Bambang Riyanto T (STEI),Kapabilitas ybs utk memajukan riset dan industri RI,-
406,9/2/2019 17:20:36,Dosen,> 40 th,Sigit Puji Santosa (FTMD),Kapabilitas ybs utk memajukan riset dan industri RI,
411,9/2/2019 17:34:47,Dosen,> 40 th,Deddy Kurniadi (FTI-TF),Sesuai dengan kriteria kekinian (Rektor 4.0),Rektor yang te-o-pe lah
412,9/2/2019 17:34:51,Dosen,> 40 th,Satria Bijaksana (FTTM),Akhlak dan budi pekerti,"Perbanyak beasiswa voucher untuk S2 jalur reguler,  turunkan harga bpp"
413,9/2/2019 17:42:32,Dosen,25 - 40 th,Sigit Puji Santosa (FTMD),Muda dan berenergi,
416,9/2/2019 17:46:19,Dosen,25 - 40 th,Sigit Puji Santosa (FTMD),"Mendatangkan dana riset dan kerjasama eksternal, dalam dan luar negeri",Itb menjadi lebih maju 
418,9/2/2019 17:47:24,Umum,> 40 th,Emir Mauludi Husni (STEI),Sesuai dengan kriteria kekinian (Rektor 4.0),
419,9/2/2019 17:48:40,Mahasiswa,25 - 40 th,Deddy Kurniadi (FTI-TF),Keberhasilan dan prestasi,
421,9/2/2019 17:48:44,Alumni,> 40 th,Deddy Kurniadi (FTI-TF),Karakter kepemimpinan dan leadership,Semoga bisa memimpin dan mengoptimalkan potensi seluruh dosen shg bisa lebih baik lagi ITB👍👍👍👍👍
